SAFRA;RISCO_CIDADE_SERASA;SISTEMA;CANAL_PCO_DECISAO;CANAL_PCO_AJUSTADO;OPERACAO;TP_PEDIDO;DECISAO_ANALISE;REASON_CODE;DS_REASON_CODE;IDENTIFICA_NOVA_ARVORE;IDENTIFICA_GRUPO_MODELO;GALHO_ARVORE;SCORE_HVI3;SCORE_BVS;ADICIONAL_G1_BHV;ADICIONAL_REST;ADICIONAL_G4_BHV;ADICIONAL_G5_BHV;ADICIONAL_HVI4;ADICIONAL_G7_BHV;QTD_PROPOSTA;QTD_APROVADOS;QTD_ALTAS;QTD_FTRA_PARC_OVER_30;QTD_ATRS_PARC_OVER_30;QTD_Infer_Conv;QTD_Infer_fl_atrs_parc_over_30
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R01;;R02;;;;;;1;1;1;1;0;0,714522739;0,044017681
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R01;;R09;;;;;;1;1;1;1;1;0,714522739;0,044017681
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R01;;R13;;;;;;2;2;2;2;0;1,429045479;0,088035363
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R01;;R18;;;;;;1;1;1;1;0;0,714522739;0,044017681
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R02;;R03;;;;;;1;1;1;1;0;0,732833855;0,044475548
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R02;;R04;;;;;;1;1;1;1;0;0,732833855;0,044475548
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R02;;R08;;;;;;1;1;1;1;0;0,732833855;0,044475548
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R02;;R09;;;;;;1;1;1;1;0;0,732833855;0,044475548
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R02;;R15;;;;;;1;1;1;1;0;0,732833855;0,044475548
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R03;;R07;;;;;;1;1;0;1;0;0,741926645;0,047813833
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R03;;R09;;;;;;1;1;1;1;0;0,741926645;0,047813833
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R03;;R13;;;;;;1;1;1;1;1;0,741926645;0,047813833
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R04;;R08;;;;;;1;1;0;;;0,727436087;0,054723972
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R04;;R09;;;;;;1;1;1;1;0;0,727436087;0,054723972
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R05;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R06;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R08;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R09;;;;;;1;1;0;;;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R11;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R12;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R16;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R18;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R05;;R19;;;;;;1;1;1;1;0;0,723788865;0,062183659
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R06;;R03;;;;;;1;1;1;1;0;0,728547224;0,070213614
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R06;;R05;;;;;;3;3;3;3;0;2,185641673;0,210640843
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R06;;R07;;;;;;1;1;0;;;0,728547224;0,070213614
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R06;;R08;;;;;;1;1;0;1;1;0,728547224;0,070213614
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R06;;R09;;;;;;1;1;0;;;0,728547224;0,070213614
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R06;;R16;;;;;;1;1;1;1;1;0,728547224;0,070213614
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R06;;R18;;;;;;2;2;2;2;0;1,457094449;0,140427228
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R07;;R03;;;;;;1;1;1;1;0;0,730595315;0,07833271
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R07;;R05;;;;;;1;1;1;1;0;0,730595315;0,07833271
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R07;;R06;;;;;;1;1;1;1;0;0,730595315;0,07833271
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R07;;R09;;;;;;2;2;2;2;0;1,46119063;0,15666542
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R07;;R12;;;;;;1;1;1;1;0;0,730595315;0,07833271
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R07;;R14;;;;;;1;1;1;1;0;0,730595315;0,07833271
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R08;;R05;;;;;;1;1;1;1;0;0,739148466;0,084203069
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R08;;R06;;;;;;1;1;1;1;0;0,739148466;0,084203069
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R08;;R07;;;;;;1;1;1;1;0;0,739148466;0,084203069
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R08;;R08;;;;;;1;1;1;1;0;0,739148466;0,084203069
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R08;;R16;;;;;;1;1;1;1;0;0,739148466;0,084203069
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R08;;R17;;;;;;1;1;0;;;0,739148466;0,084203069
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R09;;R08;;;;;;1;1;1;1;0;0,745926085;0,094445634
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R09;;R11;;;;;;2;2;2;2;0;1,491852169;0,188891269
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R10;;R06;;;;;;1;1;0;1;1;0,744592448;0,103908801
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R10;;R07;;;;;;1;1;1;1;0;0,744592448;0,103908801
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R10;;R08;;;;;;1;1;1;1;0;0,744592448;0,103908801
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R10;;R10;;;;;;1;1;1;1;0;0,744592448;0,103908801
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R10;;R11;;;;;;1;1;1;1;0;0,744592448;0,103908801
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R10;;R13;;;;;;1;1;1;1;0;0,744592448;0,103908801
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R10;;R19;;;;;;1;1;1;1;0;0,744592448;0,103908801
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R11;;R11;;;;;;1;1;1;1;0;0,738603046;0,112604085
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R11;;R14;;;;;;1;1;1;1;1;0,738603046;0,112604085
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R11;;R16;;;;;;1;1;1;1;0;0,738603046;0,112604085
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R11;;R18;;;;;;1;1;1;1;0;0,738603046;0,112604085
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R12;;R10;;;;;;1;1;0;;;0,733317724;0,126852193
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R12;;R13;;;;;;1;1;1;1;0;0,733317724;0,126852193
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R12;;R16;;;;;;1;1;0;;;0,733317724;0,126852193
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R12;;R18;;;;;;1;1;1;1;1;0,733317724;0,126852193
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R12;;R20;;;;;;1;1;1;1;0;0,733317724;0,126852193
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R13;;R11;;;;;;1;1;0;;;0,722388281;0,139093626
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R13;;R16;;;;;;2;2;2;2;1;1,444776563;0,278187253
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R14;;R04;;;;;;1;1;1;1;0;0,715511854;0,155872082
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R14;;R10;;;;;;1;1;1;1;0;0,715511854;0,155872082
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R14;;R16;;;;;;2;2;0;;;1,431023709;0,311744165
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R14;;R19;;;;;;1;1;1;1;1;0,715511854;0,155872082
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R06;;;;;;1;1;1;1;0;0,703620856;0,177906928
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R09;;;;;;2;2;2;2;0;1,407241711;0,355813856
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R10;;;;;;1;1;1;1;0;0,703620856;0,177906928
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R12;;;;;;2;2;1;1;0;1,407241711;0,355813856
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R13;;;;;;1;1;1;1;0;0,703620856;0,177906928
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R15;;;;;;1;1;1;1;1;0,703620856;0,177906928
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R17;;;;;;1;1;0;;;0,703620856;0,177906928
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R18;;;;;;1;1;1;1;0;0,703620856;0,177906928
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R15;;R20;;;;;;2;2;2;2;2;1,407241711;0,355813856
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R16;;R06;;;;;;1;1;1;1;0;0,687215083;0,200100795
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R16;;R19;;;;;;1;1;1;1;1;0,687215083;0,200100795
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R16;;R20;;;;;;1;1;1;1;0;0,687215083;0,200100795
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R17;;R07;;;;;;1;1;0;;;0,676361271;0,234219166
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R17;;R09;;;;;;1;1;1;1;0;0,676361271;0,234219166
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R17;;R16;;;;;;1;1;1;1;0;0,676361271;0,234219166
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R17;;R18;;;;;;1;1;1;1;1;0,676361271;0,234219166
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R17;;R20;;;;;;1;1;1;1;1;0,676361271;0,234219166
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R19;;R13;;;;;;1;1;0;;;0,645766188;0,282522707
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R19;;R17;;;;;;1;1;1;1;0;0,645766188;0,282522707
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;POLITICA CUSTOMIZADA;R19;;R19;;;;;;1;1;1;1;1;0,645766188;0,282522707
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;GC00;GRUPO CONTROLE;NOVO FLUXO B2C;G4 - PRE PAGO SEM DIVIDA;POLITICA CUSTOMIZADA;R01;;;;R02;;;;1;1;0;;;0,81819385;0,095160365
