ID_LINHA;SAFRA;SCORE_INTERNO;FAIXA_BUREAU;PORTE_EMPRESA;SETOR;REGIAO;UF;CANAL;PRODUTO;MIX_RISCO;FLAG_RESTRITIVO;CODIGO_VENDEDOR;DIA_SEMANA;TEMPO_ATIVIDADE_MESES;FATURAMENTO_MENSAL;QTD_FUNCIONARIOS;LIMITE_PRE_APROVADO;DECISAO_ANALISE;QTD_PROPOSTA;QTD_ALTAS;QTD_ATRS_OVER_30;QTD_INFER_CONV;QTD_INFER_FL_ATRS
L000036;202508;R03;B2;MICRO;SAUDE;SUDESTE;SP;TELEVENDAS;FINANCIAMENTO;BAIXO;NAO;V237;SEG;99;5799,46;7;2200;APROVADO;5;1;0;1,382512;0,020474
L000037;202511;R01;B1;MICRO;COMERCIO;SUDESTE;SP;DIGITAL;FINANCIAMENTO;BAIXO;NAO;V025;SEX;50;17706,63;4;8600;APROVADO;16;7;1;6,413392;0,051786
L000038;202506;R03;B2;MEI;AGRO;NORDESTE;AL;LOJA;FINANCIAMENTO;ALTO;NAO;V222;SEG;59;13348,09;1;6100;APROVADO;1;1;1;0,360178;0,006800
L000039;202505;R06;B3;MEDIA;COMERCIO;NORDESTE;MA;TELEVENDAS;CARTAO;MEDIO;NAO;V250;SEX;82;1208524,79;293;427700;APROVADO;2;0;;0,865615;0,055265
L000040;202511;R08;B4;MEDIA;COMERCIO;SUDESTE;MG;LOJA;CAPITAL_GIRO;ALTO;SIM;V161;SEG;190;286892,79;184;60100;REPROVADO;25;0;;11,898612;1,542519
L000041;202510;R01;B2;MICRO;SERVICOS;SUDESTE;SP;DIGITAL;CARTAO;BAIXO;NAO;V010;SEG;33;31883,58;4;14800;APROVADO;3;1;0;1,527531;0,010807
L000042;202512;R01;B1;MEI;SERVICOS;SUDESTE;ES;DIGITAL;CARTAO;ALTO;NAO;V026;TER;65;4208,24;1;2400;APROVADO;2;0;;0,945488;0,009047
L000043;202509;R08;B4;MEDIA;COMERCIO;NORDESTE;RN;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V232;SAB;136;565680,82;143;124900;REPROVADO;7;0;;4,162945;0,452168
L000044;202509;R03;B1;MEI;INDUSTRIA;SUDESTE;MG;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V005;QUA;21;8937,97;1;3400;APROVADO;66;32;1;30,119361;0,791990
L000045;202504;R02;B1;MEI;SERVICOS;NORTE;TO;LOJA;CARTAO;BAIXO;NAO;V024;QUI;141;11730,05;1;5300;APROVADO;25;12;0;11,824062;0,089115
L000046;202509;R08;B4;GRANDE;SERVICOS;CENTRO-OESTE;MS;DIGITAL;CAPITAL_GIRO;ALTO;NAO;V273;SEX;;1251427,37;1432;317400;APROVADO;2;2;1;1,159436;0,204774
L000047;202508;R03;B2;MICRO;AGRO;CENTRO-OESTE;MT;LOJA;CARTAO;BAIXO;NAO;V039;QUI;128;42166,32;6;17300;APROVADO;4;2;0;1,874459;0,021151
L000048;202504;R04;B2;PEQUENA;AGRO;SUDESTE;SP;TELEVENDAS;CARTAO;MEDIO;NAO;V342;TER;40;347971,49;57;138400;APROVADO;7;1;0;2,895991;0,091738
L000049;202503;R07;B4;MICRO;SERVICOS;SUDESTE;SP;LOJA;CARTAO;ALTO;SIM;V230;TER;36;70079,07;27;18500;REPROVADO;1;0;;0,545645;0,064499
L000050;202509;R04;B3;MEDIA;CONSTRUCAO;NORDESTE;BA;DIGITAL;FINANCIAMENTO;BAIXO;NAO;V018;TER;69;208293,95;100;73900;APROVADO;8;2;1;3,717311;0,152733
L000051;202503;R03;B2;MICRO;SAUDE;SUDESTE;SP;DIGITAL;CARTAO;BAIXO;NAO;V136;SAB;21;32478,21;7;13300;APROVADO;1;0;;0,552654;0,008496
L000052;202512;R07;B4;MEDIA;TECNOLOGIA;NORDESTE;BA;TELEVENDAS;FINANCIAMENTO;ALTO;NAO;V026;DOM;198;70797,53;76;19400;APROVADO;3;2;0;1,083131;0,040589
L000053;202509;R04;B2;MICRO;TECNOLOGIA;NORTE;RR;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V224;QUA;15;46084,62;9;16600;APROVADO;12;8;0;5,886563;0,197621
L000054;202508;R03;B3;MICRO;SERVICOS;NORDESTE;PE;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V020;SEG;55;30975,01;4;11800;APROVADO;2;1;0;1,048799;0,014010
L000055;202504;R01;B1;MEI;AGRO;NORDESTE;BA;PARCEIRO;CARTAO;BAIXO;NAO;V002;SEX;20;6114,91;1;2800;APROVADO;2;0;;0,852474;0,013170
L000056;202512;R02;B1;MEI;SAUDE;SUDESTE;RJ;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V020;TER;58;1982,32;1;1000;APROVADO;4;2;0;1,773690;0,028486
L000057;202504;R05;B3;PEQUENA;COMERCIO;CENTRO-OESTE;MS;PARCEIRO;CARTAO;MEDIO;NAO;V002;TER;38;131184,42;21;44900;APROVADO;1;0;;0,550188;0,020396
L000058;202512;R08;B4;GRANDE;CONSTRUCAO;SUDESTE;MG;TELEVENDAS;CAPITAL_GIRO;ALTO;NAO;V006;QUA;132;1029618,92;1008;232200;REPROVADO;1;0;;0,493190;0,074207
L000059;202511;R07;B4;MEI;SERVICOS;NORDESTE;SE;DIGITAL;CAPITAL_GIRO;ALTO;SIM;V331;QUI;51;7536,55;1;1700;REPROVADO;2;0;;1,145843;0,055501
L000060;202504;R07;B4;MEI;CONSTRUCAO;NORDESTE;CE;PARCEIRO;FINANCIAMENTO;ALTO;NAO;V014;QUI;28;3569,23;1;1000;REPROVADO;2;0;;0,948673;0,150074
L000061;202510;R07;B4;MEDIA;CONSTRUCAO;SUDESTE;SP;PARCEIRO;CARTAO;ALTO;SIM;V009;QUI;134;109293,02;177;32400;REPROVADO;6;0;;3,199608;0,595845
L000062;202506;R01;B1;MICRO;COMERCIO;SUDESTE;MG;TELEVENDAS;CARTAO;BAIXO;NAO;V038;QUI;44;8858,61;6;4600;APROVADO;1;1;0;0,365459;0,003393
L000063;202509;R06;B3;PEQUENA;SAUDE;NORDESTE;RN;LOJA;CARTAO;MEDIO;NAO;V027;DOM;207;249806,19;13;79900;APROVADO;2;2;0;1,044796;0,044998
L000064;202502;R07;B4;GRANDE;SERVICOS;SUDESTE;SP;TELEVENDAS;CARTAO;ALTO;NAO;V029;SEX;276;951005,24;917;259600;REPROVADO;1;0;;0,464470;0,021716
L000065;202504;R08;B3;PEQUENA;SERVICOS;SUDESTE;RJ;LOJA;CAPITAL_GIRO;ALTO;NAO;V012;SEG;396;56972,71;20;12200;APROVADO;2;1;0;1,003347;0,048911
L000066;202506;R02;B1;PEQUENA;TECNOLOGIA;NORDESTE;BA;LOJA;CARTAO;BAIXO;SIM;V001;TER;29;217829,51;19;90300;APROVADO;30;12;0;12,202291;0,209099
L000067;202506;R07;B4;PEQUENA;COMERCIO;SUDESTE;SP;TELEVENDAS;FINANCIAMENTO;ALTO;NAO;V028;TER;112;207224,51;69;47400;REPROVADO;13;0;;5,039253;0,251792
L000068;202501;R09;B5;GRANDE;COMERCIO;SUDESTE;RJ;LOJA;CARTAO;ALTO;NAO;V220;SEG;56;2245188,87;1395;395800;REPROVADO;79;0;;49,409439;9,770926
L000069;202511;R02;B1;MEI;TECNOLOGIA;SUDESTE;MG;LOJA;CAPITAL_GIRO;BAIXO;NAO;V017;QUA;31;2614,67;1;1200;APROVADO;1;0;;0,373382;0,005724
L000070;202501;R04;B2;MEI;INDUSTRIA;SUL;SC;LOJA;CAPITAL_GIRO;MEDIO;NAO;V028;TER;48;13946,18;1;5900;APROVADO;2;1;0;0,893490;0,018426
L000071;202504;R06;B3;MEDIA;INDUSTRIA;NORDESTE;PE;DIGITAL;CARTAO;MEDIO;NAO;V007;SEG;315;308599,43;207;106200;PENDENTE;4;0;;2,556656;0,084105
L000072;202502;R06;B3;PEQUENA;COMERCIO;SUDESTE;SP;LOJA;FINANCIAMENTO;MEDIO;NAO;V102;SAB;37;73027,28;34;20600;APROVADO;2;2;0;0,864980;0,034662
L000073;202503;R05;B3;MEDIA;TECNOLOGIA;SUDESTE;RJ;LOJA;FINANCIAMENTO;MEDIO;SIM;V331;SAB;248;2331645,50;46;920500;REPROVADO;1;0;;0,362434;0,019639
L000074;202508;R02;B2;PEQUENA;COMERCIO;SUL;PR;TELEVENDAS;CAPITAL_GIRO;BAIXO;NAO;V027;DOM;123;81453,48;14;40100;APROVADO;2;1;0;0,709298;0,005666
L000075;202507;R01;B1;MICRO;SERVICOS;SUL;PR;LOJA;CAPITAL_GIRO;BAIXO;NAO;V016;SEX;19;15207,02;5;8500;APROVADO;2;1;0;0,697346;0,004675
L000076;202509;R05;B3;MICRO;SAUDE;SUDESTE;SP;TELEVENDAS;CAPITAL_GIRO;MEDIO;NAO;V030;SEX;44;49305,55;4;17200;APROVADO;1;1;0;0,400386;0,013827
L000077;202507;R06;B4;MICRO;COMERCIO;NORDESTE;AL;DIGITAL;CARTAO;MEDIO;NAO;V025;SAB;11;27644,45;13;8200;APROVADO;1;0;;0,578976;0,029666
L000078;202501;R03;B2;MICRO;SERVICOS;NORTE;AM;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V030;DOM;12;31089,44;9;14800;APROVADO;1;1;0;0,416481;0,009025
L000079;202506;R05;B3;MICRO;AGRO;SUDESTE;MG;DIGITAL;CARTAO;MEDIO;NAO;V003;QUI;64;60240,93;10;19800;APROVADO;2;1;0;1,165759;0,031212
L000080;202501;R03;B2;MEI;INDUSTRIA;SUDESTE;SP;DIGITAL;CARTAO;BAIXO;NAO;V052;QUI;39;5325,66;1;2500;APROVADO;12;6;0;6,640708;0,153143
L000081;202512;R01;B1;MICRO;CONSTRUCAO;SUL;RS;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V007;SEX;92;6474,97;3;3600;APROVADO;3;2;0;1,309945;0,013791
L000082;202508;R05;B3;MEDIA;CONSTRUCAO;SUL;RS;DIGITAL;CAPITAL_GIRO;MEDIO;;V039;SEX;95;320623,28;198;119600;APROVADO;7;5;0;3,768904;0,163582
L000083;202505;R01;B1;MICRO;SAUDE;SUDESTE;SP;LOJA;CARTAO;BAIXO;NAO;V004;SEG;47;19648,31;5;10900;APROVADO;1;1;0;0,408859;0,002815
L000084;202505;R08;B4;MEDIA;SAUDE;NORDESTE;CE;LOJA;CAPITAL_GIRO;BAIXO;NAO;V025;SAB;144;2965420,63;137;692700;REPROVADO;2;0;;1,040375;0,111856
L000085;202510;R03;B2;MEI;COMERCIO;NORDESTE;PE;LOJA;FINANCIAMENTO;BAIXO;NAO;V105;SEG;57;6637,46;1;2700;APROVADO;6;1;0;2,137042;0,033208
L000086;202505;R03;B2;MEI;MINERACAO;NORDESTE;CE;DIGITAL;CARTAO;BAIXO;NAO;V010;QUA;24;10792,70;1;4000;APROVADO;2;1;0;1,066065;0,025913
L000087;202509;R01;B1;MEI;SERVICOS;NORDESTE;CE;LOJA;CARTAO;BAIXO;NAO;V026;SAB;22;2690,25;1;1300;APROVADO;152;73;4;68,148699;1,375051
L000088;202503;R02;B1;PEQUENA;SERVICOS;NORTE;RO;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V176;QUI;286;82818,98;23;37300;APROVADO;1;0;;0,502309;0,002863
L000089;202510;R01;B1;MEI;INDUSTRIA;NORTE;RO;LOJA;CARTAO;BAIXO;SIM;V023;TER;21;12507,75;1;7300;APROVADO;1;1;0;0,419038;0,008653
L000090;202504;R05;B3;MICRO;COMERCIO;SUL;PR;DIGITAL;CARTAO;MEDIO;NAO;V193;SEG;22;28113,65;5;9300;APROVADO;6;3;0;3,573982;0,105277
L000091;202510;R05;B3;MICRO;SERVICOS;SUDESTE;MG;LOJA;CAPITAL_GIRO;MEDIO;NAO;V022;DOM;59;80830,61;5;25800;APROVADO;1;0;;0,481661;0,012574
L000092;202510;R04;B2;PEQUENA;TECNOLOGIA;NORDESTE;BA;LOJA;CARTAO;MEDIO;NAO;V026;SEG;129;70812,05;52;29200;APROVADO;4;0;;1,987823;0,022649
L000093;202509;R02;B1;MEI;COMERCIO;NORDESTE;RN;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V021;TER;22;9737,40;1;4600;APROVADO;4;3;0;1,761780;0,032665
L000094;202505;R03;B2;MICRO;SERVICOS;NORDESTE;PE;DIGITAL;CARTAO;ALTO;NAO;V109;SEX;87;103644,85;11;39100;APROVADO;8;4;0;3,986586;0,052121
L000095;202512;R01;B1;MICRO;SAUDE;NORDESTE;CE;DIGITAL;CARTAO;BAIXO;NAO;V029;SEG;81;13310,31;9;7200;PENDENTE;84;0;;42,111219;0,271023
L000096;202512;R07;B4;MEI;SERVICOS;SUDESTE;ES;DIGITAL;CARTAO;ALTO;NAO;V106;SAB;16;2910,59;1;800;REPROVADO;2;0;;1,234106;0,041185
L000097;202505;R10;B5;GRANDE;SERVICOS;NORTE;RO;DIGITAL;CARTAO;ALTO;NAO;V012;SEX;480;1084151,43;1448;129900;REPROVADO;3;0;;1,912139;0,349752
L000098;202504;R08;B3;GRANDE;COMERCIO;SUDESTE;SP;LOJA;CAPITAL_GIRO;ALTO;NAO;V159;TER;177;3555790,54;611;884600;APROVADO;2;2;0;0,981558;0,123802
L000099;202511;R02;B1;MICRO;TECNOLOGIA;NORDESTE;BA;LOJA;FINANCIAMENTO;BAIXO;NAO;V010;QUA;52;57528,69;5;29600;APROVADO;1;1;0;0,331272;0,002737
L000100;202504;R09;B5;GRANDE;COMERCIO;NORDESTE;CE;PARCEIRO;CAPITAL_GIRO;ALTO;NAO;V003;SEX;110;16455694,92;786;2683400;REPROVADO;7;0;;4,146008;0,828434
L000101;202506;R02;B2;MEI;TECNOLOGIA;SUDESTE;RJ;LOJA;CARTAO;BAIXO;NAO;V004;SEG;59;5752,94;1;3100;APROVADO;1;1;0;0,469113;0,004270
L000102;202505;R05;B3;MICRO;SAUDE;SUDESTE;MG;LOJA;CARTAO;MEDIO;NAO;V071;TER;41;13914,67;3;4100;APROVADO;23;10;1;10,751112;0,317129
L000103;202506;R07;B4;PEQUENA;SERVICOS;SUDESTE;SP;PARCEIRO;CARTAO;ALTO;SIM;V136;SEX;76;17045,18;23;4800;REPROVADO;3;0;;1,620644;0,202713
L000104;202510;R01;B1;PEQUENA;COMERCIO;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V250;SAB;165;320620,85;11;185200;APROVADO;2;1;0;0,911019;0,004430
L000105;202506;R06;B3;PEQUENA;SERVICOS;SUL;SC;DIGITAL;CARTAO;MEDIO;NAO;V003;SAB;192;238006,05;15;79800;APROVADO;2;1;0;1,207828;0,029326
L000106;202510;R04;B2;MEI;TECNOLOGIA;SUDESTE;MG;LOJA;CARTAO;MEDIO;NAO;V280;DOM;23;8053,31;1;3400;APROVADO;1;1;0;0,469719;0,009421
L000107;202512;R06;B3;MEDIA;INDUSTRIA;SUDESTE;SP;LOJA;FINANCIAMENTO;MEDIO;NAO;V012;SEG;480;75885,87;246;25800;APROVADO;2;2;0;0,819225;0,021227
L000108;202506;R03;B2;MICRO;AGRO;NORDESTE;CE;PARCEIRO;CARTAO;BAIXO;NAO;V022;SEG;37;34421,80;14;13900;APROVADO;5;2;0;2,220948;0,050042
L000109;202502;R05;B3;PEQUENA;AGRO;SUDESTE;MG;DIGITAL;CARTAO;MEDIO;NAO;V010;TER;69;145042,62;49;55000;APROVADO;3;1;0;1,685019;0,052791
L000110;202512;R04;B1;PEQUENA;COMERCIO;SUL;SC;LOJA;CAPITAL_GIRO;MEDIO;NAO;V213;SEX;202;22615,92;52;10200;APROVADO;1;0;;0,435059;0,005854
L000111;202507;R01;B1;MEI;COMERCIO;NORTE;TO;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V029;QUA;19;10205,01;1;4900;APROVADO;1;0;;0,368034;0,004809
L000112;202512;R08;B4;MEDIA;SAUDE;SUL;SC;TELEVENDAS;CAPITAL_GIRO;ALTO;NAO;V012;SEX;309;189505,15;85;44900;REPROVADO;2;0;;0,888541;0,041978
L000113;202512;R04;B2;MICRO;COMERCIO;SUDESTE;ES;TELEVENDAS;CARTAO;MEDIO;NAO;V082;TER;205;179790,91;9;68300;APROVADO;5;0;;2,015241;0,025755
L000114;202503;R07;B3;PEQUENA;INDUSTRIA;NORDESTE;PB;DIGITAL;FINANCIAMENTO;ALTO;NAO;V003;SEX;112;28486,96;29;6800;APROVADO;1;0;;0,516444;0,024231
L000115;202511;R05;B3;MICRO;SERVICOS;NORDESTE;MA;LOJA;FINANCIAMENTO;MEDIO;SIM;V054;SEG;70;4352,67;6;1500;REPROVADO;5;0;;1,861466;0,144855
L000116;202501;R04;B2;MICRO;COMERCIO;SUDESTE;RJ;DIGITAL;CARTAO;MEDIO;NAO;V020;TER;396;52800,38;3;21100;APROVADO;2;2;0;1,162243;0,013365
L000117;202508;R01;B1;MICRO;SERVICOS;SUL;PR;LOJA;FINANCIAMENTO;BAIXO;NAO;V013;SAB;7;6181,82;5;3300;APROVADO;1;0;;0,328954;0,003426
L000118;202507;R09;B5;GRANDE;SERVICOS;CENTRO-OESTE;DF;DIGITAL;CARTAO;ALTO;SIM;V013;QUI;480;830922,72;874;173600;REPROVADO;1;0;;0,696343;0,150219
L000119;202512;R05;B4;PEQUENA;SERVICOS;NORDESTE;BA;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V117;QUI;37;35886,82;13;11200;APROVADO;2;0;;1,128553;0,034072
L000120;202512;R03;B2;MEI;SERVICOS;SUDESTE;RJ;LOJA;FINANCIAMENTO;BAIXO;NAO;V299;TER;12;3149,10;1;1500;APROVADO;1;0;;0,334532;0,008396
L000121;202505;R02;B1;MICRO;INDUSTRIA;SUL;SC;LOJA;CARTAO;BAIXO;NAO;V023;QUI;69;83067,92;8;34700;APROVADO;4;1;0;1,844256;0,015218
L000122;202502;R01;B1;MICRO;COMERCIO;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V003;QUA;62;79114,03;2;43900;APROVADO;8;3;0;3,650032;0,022276
L000123;202503;R06;B3;MEDIA;TECNOLOGIA;SUDESTE;MG;TELEVENDAS;CAPITAL_GIRO;MEDIO;NAO;V030;SEX;197;677712,77;94;189000;APROVADO;1;0;;0,428960;0,013410
L000124;202501;R04;B2;MEI;COMERCIO;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V016;SEG;12;12664,75;1;5500;APROVADO;2;2;0;0,985714;0,024741
L000125;202506;R01;B2;MEI;COMERCIO;NORTE;PA;LOJA;CAPITAL_GIRO;BAIXO;SIM;V030;QUA;36;8599,58;1;4200;APROVADO;5;3;0;1,851056;0,034752
L000126;202511;R05;B3;PEQUENA;SERVICOS;NORDESTE;CE;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V009;QUI;66;128980,67;15;51300;APROVADO;13;6;0;6,264305;0,173436
L000127;202502;R05;B3;MEDIA;AGRO;SUDESTE;SP;PARCEIRO;FINANCIAMENTO;MEDIO;NAO;V008;SAB;289;446162,51;175;136900;APROVADO;61;13;0;26,161369;0,655180
L000128;202504;R07;B4;MICRO;CONSTRUCAO;CENTRO-OESTE;MT;PARCEIRO;CARTAO;ALTO;NAO;V003;TER;25;21261,88;6;6300;APROVADO;2;2;0;1,093326;0,136884
L000129;202505;R04;B1;MEI;COMERCIO;NORTE;TO;DIGITAL;CARTAO;BAIXO;NAO;V016;SAB;31;1173,66;1;500;APROVADO;1;1;0;0,553607;0,027762
L000130;202511;R03;B2;MEDIA;SERVICOS;SUDESTE;RJ;PARCEIRO;CARTAO;BAIXO;NAO;V242;QUI;361;278416,64;235;127500;APROVADO;1;1;0;0,502145;0,004764
L000131;202506;R05;B3;PEQUENA;SERVICOS;SUDESTE;SP;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V221;SEG;170;30841,38;33;11300;APROVADO;1;1;0;0,481114;0,010018
L000132;202507;R08;B3;GRANDE;COMERCIO;SUDESTE;RJ;PARCEIRO;CAPITAL_GIRO;ALTO;NAO;V024;QUI;480;3292407,40;809;693800;REPROVADO;5;0;;2,550764;0,265941
